frame_idx	timestamp_ns	ev_a	ev_b	range_a_m	range_b_m	scale_ratio	precision_pct	recall_pct	f1_pct	fp_count	fn_count
288	1784131532778613000	889	871	37.305	37.698	1.01	83.2	68.8	75.3	149	271
289	1784131533060108000	889	869	37.817	37.976	1.004	52.6	26.1	34.9	421	642
290	1784131533332792000	889	870	37.698	38.146	1.011	70.5	68.6	69.5	262	273
291	1784131533617998000	889	870	38.028	38.615	1.015	88.1	69.7	77.9	105	263
292	1784131533897083000	889	871	38.382	38.674	1.007	67.9	67.2	67.6	285	285
293	1784131534200739000	889	871	38.835	38.951	1.002	65.8	55.4	60.1	304	388
294	1784131534492355000	889	872	38.854	39.066	1.005	65.4	60.7	63.0	307	342
295	1784131534799795000	889	872	39.315	39.669	1.009	69.6	59.0	63.9	270	357
296	1784131535093933000	889	872	39.41	39.751	1.008	66.9	58.0	62.1	294	366
297	1784131535379156000	889	872	39.707	40.139	1.01	67.7	51.2	58.3	287	425
298	1784131535670664000	889	872	39.757	40.511	1.018	58.4	39.6	47.2	369	526
299	1784131536028167000	889	872	40.301	41.032	1.018	68.8	47.9	56.5	277	454
300	1784131536329840000	889	872	40.511	41.215	1.017	60.7	43.6	50.8	349	491
301	1784131536611674000	889	872	40.647	41.511	1.021	65.4	41.0	50.4	307	514
302	1784131536915014000	889	872	40.505	41.583	1.026	51.7	30.9	38.7	429	602
303	1784131537204125000	889	872	40.425	41.721	1.032	42.5	24.7	31.3	511	656
304	1784131537483125000	889	872	41.032	42.031	1.024	61.0	37.9	46.8	346	541
305	1784131537807734000	889	872	40.616	42.031	1.034	43.7	26.6	33.0	500	640
306	1784131538092480000	889	872	40.953	42.245	1.031	50.9	30.9	38.5	436	602
307	1784131538375953000	889	872	41.245	42.346	1.026	56.2	41.7	47.9	389	508
308	1784131538647986000	889	872	41.469	42.469	1.024	70.3	46.6	56.1	264	465
309	1784131538975460000	889	872	41.523	42.646	1.027	51.4	33.6	40.6	432	579
310	1784131539279003000	889	872	42.15	42.839	1.016	75.1	53.5	62.5	221	405
311	1784131539568370000	889	872	42.563	42.99	1.01	74.1	60.6	66.7	230	343
312	1784131539887212000	889	872	43.193	43.077	0.997	71.3	57.3	63.5	255	372
313	1784131540210874000	889	872	43.193	42.92	0.993	81.6	63.1	71.2	163	321
314	1784131540505390000	889	872	43.234	43.089	0.996	76.6	58.3	66.2	208	363
315	1784131540798989000	889	872	43.459	42.932	0.987	82.3	56.1	66.7	157	382
316	1784131541096602000	886	872	43.842	43.372	0.989	62.4	41.7	50.0	333	508
317	1784131541427933000	889	872	44.24	42.698	0.965	5.6	5.7	5.6	839	822
318	1784131541731854000	881	872	44.121	43.499	0.985	72.1	38.0	49.8	245	540
319	1784131542014663000	882	872	44.426	42.346	0.953	3.6	4.9	4.1	850	829
320	1784131542309088000	887	872	43.888	43.722	0.996	48.3	36.0	41.2	458	558
321	1784131542603189000	884	872	44.132	42.245	0.957	1.3	4.0	2.0	872	837
322	1784131542959674000	884	872	44.047	44.336	1.006	45.5	35.5	39.9	481	562
323	1784131543258668000	881	872	44.454	42.334	0.952	0.0	0.0	0.0	881	872
